2-BTP,CF3Br,CH4,N2,O2,P(atm),Su(cm/s),T,T(K),True_Su(m/s),agent,agent_volume_frac,index,mech,percent_error,phi
,0.0025,0.11577298050139276,0.6964902506963787,0.1852367688022284,1,19.562051055627677,2092.8381311559183,300,0.20992259488267945,CF3BR,0.0025,14,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,6.908054045755494,1.25
,,0.0730282375851996,0.7322297955209347,0.1947419668938656,1,25.404847665638915,1918.358507170101,300,0.25877753326751096,CF3BR,0,2,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,3.855489506665587,0.75
,0.01,0.094106463878327,0.707680608365019,0.188212927756654,1,6.984314884521744,2203.192875590147,300,0.07284646479002253,CF3BR,0.01,42,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,4.471065490671837,1
,,0.11606313834726091,0.6982358402971217,0.18570102135561747,1,35.365619345141006,2097.583937281537,300,0.3721517197127396,CF3BR,0,4,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,6.65397979609706,1.25
,0.02,0.0715676728334956,0.717585199610516,0.19084712755598832,1,2.3252398424194918,1887.1625264545337,300,0.024455978401238428,CF3BR,0.02,60,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,5.108629560311865,0.75
,0.015000000000000001,0.07193281402142163,0.7212463485881208,0.19182083739045766,1,2.77057788197504,1893.7350375789445,300,0.0289691176402026,CF3BR,0.015,50,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,4.451053773980754,0.75
,0.005000000000000001,0.1154828226555246,0.694744661095636,0.1847725162488394,1,12.65384704062829,2085.535265411581,300,0.1355835857912942,CF3BR,0.005,24,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,7.005185699027625,1.25
0.015000000000000001,,0.114322191272052,0.6877623026926648,0.1829155060352832,1,4.653672973443782,1938.86803840713,300,0.05011552108886733,BTP,0.015,53,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,7.408809422774492,1.25
0.007499999999999999,,0.11519266480965644,0.6929990714948931,0.1843082636954503,1,8.333028152243326,2016.5515584625516,300,0.08965110714967546,BTP,0.0075,33,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,7.589725753578299,1.25
0.02,,0.09315589353612166,0.7005323193916349,0.18631178707224333,1,4.75672136347611,2073.2711315828537,300,0.04986103997653863,BTP,0.02,61,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,4.836369965578605,1
0.01,,0.04940119760479042,0.7429940119760479,0.19760479041916168,1,1.6515888360219357,1731.4771662433702,300,0.01768321408376681,BTP,0.01,37,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,7.3765579137432,0.5
,,0.09505703422053233,0.714828897338403,0.19011406844106465,1,41.27303878492559,2225.687381555983,300,0.42872318053006025,CF3BR,0,3,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,3.885277637444483,1
0.015,,0.07193281402142163,0.7212463485881208,0.19182083739045766,1,5.1982950160844625,2188.8323861427875,300,0.054068758900916704,BTP,0.015,49,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,4.009925830063788,0.75
0.005000000000000001,,0.04965069860279442,0.7467465069860281,0.19860279441117767,1,1.2816444814129393,1603.7265873764802,300,0.013643359207019002,BTP,0.005,17,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,6.829743578955006,0.5
,0.007500000000000001,0.07248052580331062,0.7267380720545278,0.19328140214216163,1,4.5774617606497365,1901.9333412214667,300,0.04817044916278852,CF3BR,0.0075,30,/scratch/westgroup/chlorination/git_hub/halogen-data/cantera/2-BTP/literature_mech/2-BTP_kinetics.cti,5.43666493010238,0.75
