! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
C3H3(5215)          2     352.621     5.073     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=457.95 K, Pc=50.95 bar (from Joback method)
C3H4(5216)          2     330.322     4.785     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=428.99 K, Pc=56.87 bar (from Joback method)
C3H4(5217)          2     329.258     4.890     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=427.61 K, Pc=53.12 bar (from Joback method)
S(5236)             2     407.282     5.426     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=528.94 K, Pc=48.09 bar (from Joback method)
S(5238)             2     397.157     5.416     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=515.79 K, Pc=47.17 bar (from Joback method)
C4H6(5248)          2     360.421     5.186     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=468.08 K, Pc=48.77 bar (from Joback method)
S(5307)             2     431.068     5.775     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=559.83 K, Pc=42.22 bar (from Joback method)
S(5308)             2     421.443     5.767     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=547.33 K, Pc=41.46 bar (from Joback method)
S(5414)             2     419.540     5.778     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=544.86 K, Pc=41.04 bar (from Joback method)
S(5748)             2     394.809     5.474     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=512.74 K, Pc=45.41 bar (from Joback method)
S(5756)             2     397.505     5.432     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=516.24 K, Pc=46.78 bar (from Joback method)
C3H4(7757)          2     237.100     5.118     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
S(10482)            2     324.399     5.051     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=421.30 K, Pc=47.5 bar (from Joback method)
S(10540)            2     482.814     6.290     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=627.03 K, Pc=36.6 bar (from Joback method)
S(10653)            2     465.890     6.057     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=605.05 K, Pc=39.56 bar (from Joback method)
S(11197)            2     422.670     5.839     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=548.92 K, Pc=40.06 bar (from Joback method)
S(18834)            2     473.820     6.294     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=615.35 K, Pc=35.86 bar (from Joback method)
S(18883)            2     472.702     5.695     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=613.90 K, Pc=48.29 bar (from Joback method)
S(19063)            2     508.556     6.671     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=660.46 K, Pc=32.32 bar (from Joback method)
S(25584)            2     359.053     5.289     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=466.30 K, Pc=45.78 bar (from Joback method)
S(25587)            2     531.400     4.687     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
S(25695)            2     449.417     6.223     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=583.66 K, Pc=35.18 bar (from Joback method)
S(26589)            2     381.310     5.503     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=495.21 K, Pc=43.17 bar (from Joback method)
S(26591)            2     357.002     5.180     0.000     0.000     1.000    ! GRI-Mech
S(26595)            2     381.310     5.503     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=495.21 K, Pc=43.17 bar (from Joback method)
S(26596)            2     531.400     4.687     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
S(26907)            2     462.614     6.298     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=600.80 K, Pc=34.93 bar (from Joback method)
S(28060)            2     357.002     5.180     0.000     0.000     1.000    ! GRI-Mech
S(43117)            2     531.400     4.687     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
S(43119)            2     531.400     4.687     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
S(43224)            2     388.080     5.673     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=504.00 K, Pc=40.11 bar (from Joback method)
S(43298)            2     447.120     5.987     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=580.68 K, Pc=39.31 bar (from Joback method)
S(47221)            2     355.899     5.352     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=462.21 K, Pc=43.8 bar (from Joback method)
S(49979)            2     436.044     6.178     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=566.29 K, Pc=34.89 bar (from Joback method)
S(51013)            2     425.148     5.425     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=552.14 K, Pc=50.23 bar (from Joback method)
S(51137)            2     453.743     6.337     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=589.28 K, Pc=33.65 bar (from Joback method)
S(53668)            2     467.454     5.775     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=607.08 K, Pc=45.78 bar (from Joback method)
S(53749)            2     400.738     5.842     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=520.44 K, Pc=37.92 bar (from Joback method)
S(53751)            1     349.888     5.611     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=454.40 K, Pc=37.36 bar (from Joback method)
S(53753)            2     398.887     5.759     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=518.03 K, Pc=39.41 bar (from Joback method)
